data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),52,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),92,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),124,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),6,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),0: All Day (12am-12am),1026,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),1: Early AM (12am-6am),25,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),2: Peak AM (6am-10am),153,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),338,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),454,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),5: Late PM (7pm-12am),66,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),0: All Day (12am-12am),986,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),1: Early AM (12am-6am),27,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),177,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),305,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),473,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),45,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),824,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),1: Early AM (12am-6am),38,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),177,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),513,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),222,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),59,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),0: All Day (12am-12am),402,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),2: Peak AM (6am-10am),79,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),147,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),143,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),5: Late PM (7pm-12am),54,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),0: All Day (12am-12am),323,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),74,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),140,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),105,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),28,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),604,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),37,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),176,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),252,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,San Pablo to Peralta,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),78,Average Daily Zone Traffic (StL Volume)
